139000,100
489000,100
490000,99
499000,99
500000,98
508000,98
509000,97
518000,97
519000,96
527000,96
528000,95
537000,95
539000,94
546000,94
548000,93
556000,93
559000,92
566000,92
567000,91
575000,91
576000,90
594000,90
596000,89
612000,89
616000,88
633000,88
636000,87
651000,87
653000,86
670000,86
673000,85
691000,85
692000,84
708000,84
712000,83
729000,83
730000,82
742000,82
750000,81
764000,81
769000,80
788000,80
794000,79
815000,79
819000,78
836000,78
844000,77
861000,77
866000,76
886000,76
888000,75
901000,75
914000,74
928000,74
936000,73
957000,73
967000,72
983000,72
1000000,71
1000000,71
1008000,70
1021000,70
1082000,68
1084000,68
1109000,67
1121000,67
1161000,65
1161000,65
1185000,64
1194000,64
1219000,63
1229000,63
1251000,62
1251000,62
1282000,61
1282000,61
1308000,60
1308000,60
1336000,59
1336000,59
1382000,58
1387000,58
1425000,57
1425000,57
1441000,56
1445000,56
1488000,55
1488000,55
