0,100
611000,100
612000,99
623000,99
624000,98
635000,98
636000,97
647000,97
648000,96
659000,96
660000,95
671000,95
672000,94
683000,94
684000,93
695000,93
696000,92
707000,92
708000,91
719000,91
720000,90
743000,90
744000,89
767000,89
768000,88
791000,88
792000,87
815000,87
816000,86
839000,86
840000,85
863000,85
864000,84
887000,84
888000,83
911000,83
912000,82
935000,82
936000,81
959000,81
960000,80
989000,80
990000,79
1019000,79
1020000,78
1049000,78
1050000,77
1079000,77
1080000,76
1109000,76
1110000,75
1139000,75
1140000,74
1169000,74
1170000,73
1199000,73
1200000,72
1229000,72
1230000,71
1259000,71
1261000,70
1293000,70
1296000,69
1331000,69
1332000,68
1367000,68
1368000,67
1401000,67
1404000,66
1439000,66
1440000,65
1474000,65
1477000,64
1511000,64
1512000,63
1547000,63
1549000,62
1582000,62
1585000,61
1618000,61
1620000,60
1660000,60
1663000,59
1704000,59
1706000,58
1744000,58
1753000,57
1788000,57
1791000,56
1829000,56
1833000,55
1870000,55
1874000,54
1903000,54
1915000,53
1955000,53
1963000,52
1982000,52
2003000,51
2037000,51
2044000,50
2066000,50
2105000,49
2121000,49
2138000,48
2152000,48
2172000,47
2199000,47
2219000,46
2239000,46
2260000,45
2277000,45
2312000,44
2333000,44
2367000,43
2373000,43
2408000,42
2408000,42
2485000,40
2495000,40
2519000,39
2521000,39
2565000,38
2565000,38
2599000,37
2599000,37
2707000,35
2707000,35
2763000,33
2763000,33
2800000,32
2830000,32
2932000,29
2958000,29
3022000,27
3022000,27
3128000,25
3129000,25
3225000,22
3256000,22
3373000,19
3373000,19
3435000,17
3435000,17
